EmpID,EmpName,EngDt,TermDt,DepID,GenderID,RaceID,MgrID,DOB,PayRate,Level
1,"Nash, Kay K",2015-01-01,2017-05-29,8,1,1,1,1987-02-12,,1
2,"Simpson, Raymond X",2015-01-01,,7,0,4,2,1982-11-15,,1
3,"Devlin, Kay M",2015-10-06,2019-06-24,10,1,5,3,1986-02-22,,1
4,"Massie, Elisabeth V",2015-01-01,,4,1,2,4,1977-05-25,,1
5,"Mead, Catherine N",2015-05-22,2020-07-15,8,1,1,1,1995-04-04,,2
6,"Wright, Linda K",2015-07-11,2022-06-18,10,1,2,3,1989-02-13,,2
7,"Gibbs, David A",2015-12-04,2018-10-08,3,0,4,7,1983-05-06,,1
8,"Shute, Sarah F",2015-01-01,,9,1,2,8,1986-04-11,,1
9,"Woolley, Paulin P",2015-01-01,2015-02-22,4,0,4,4,1995-01-06,,2
10,"Woodbridge, Irene A",2015-05-09,2022-06-15,1,1,5,10,1985-06-21,,1
11,"Richardson, Bhavna C",2015-05-11,2021-09-29,9,1,2,8,1978-07-31,,2
12,"Lamb, Daniel U",2015-12-24,,6,0,5,12,1975-02-03,,1
13,"Seabrook, Sonia S",2015-01-01,,1,1,2,10,1990-12-17,,2
14,"Powell, David V",2015-07-26,,6,0,5,12,1978-05-02,,2
15,"Nielson, Paulin V",2016-03-13,,4,0,2,4,1974-11-19,,2
16,"Goddard, Joanna R",2015-01-01,,7,1,5,2,1972-08-27,,2
17,"Webb, Steven C",2015-10-08,,3,0,2,7,1987-10-26,,2
18,"Channing, Francis C",2015-03-21,,7,0,5,2,1968-01-31,,2
19,"Richards, Iris K",2015-01-01,,9,1,5,8,1968-10-03,,2
20,"Ewart, Amanda B",2015-01-01,,7,1,4,2,1981-02-12,,2
21,"Gorton, Adele W",2015-09-29,,4,1,3,4,1985-09-07,,2
22,"Andrews, Sally X",2016-05-03,2022-09-27,10,1,3,3,1983-06-19,,2
23,"Bennett, Andrew Y",2015-01-01,,1,0,5,10,1962-11-21,,2
24,"Cousins, Phyllis C",2015-02-05,,1,1,4,10,1974-03-13,,2
25,"Richards, Graham F",2015-12-19,,7,0,1,2,1985-10-30,,2
26,"Kenney, Frances L",2015-01-01,,8,1,1,1,1967-01-25,,2
27,"John, Adam Q",2015-09-04,,2,0,4,27,1955-01-03,,1
28,"Wynn, Adam Y",2015-09-27,2021-10-30,1,0,4,10,1979-05-05,,2
29,"Gadd, Morag H",2015-04-21,,8,1,5,1,1988-10-17,,2
30,"Fleet, Sarah V",2015-02-02,,5,1,3,30,1978-03-28,,1
31,"Rawson, Nishma P",2015-01-01,2018-07-28,8,1,5,1,1953-11-17,,2
32,"Primrose, Adam S",2015-03-27,,3,0,5,7,1969-09-28,,2
33,"Parke, Robert F",2015-10-17,,9,0,2,8,1962-07-02,,2
34,"Gorton, Daniel H",2015-01-01,,5,0,5,30,1954-11-20,,2
35,"Wilson, John Z",2015-01-01,,1,0,5,10,1964-02-12,,2
36,"Coombs, Antony P",2015-06-04,,10,0,1,3,1974-02-04,,2
37,"Stevenson, Frank D",2017-05-09,,6,0,1,12,1975-02-03,,2
38,"McCarthy, Philip X",2016-01-01,,2,0,1,27,1974-07-27,,2
39,"Wilson, Bruno A",2015-01-01,,7,0,3,2,1972-10-14,,2
40,"Dingley, Jayne T",2015-05-11,2015-08-27,6,1,5,12,1964-07-05,,2
41,"Standen, Selina H",2016-03-21,2021-11-20,1,1,2,35,1988-11-15,,3
42,"Stevenson, Dimitrios X",2015-01-01,2020-08-29,1,0,2,35,1988-09-03,,3
43,"Parrett, Matthew U",2015-07-21,2019-07-30,8,0,5,1,1986-10-31,,2
44,"Scholes, Liam J",2015-01-01,2023-07-01,6,0,3,12,1972-06-11,,2
45,"Massie, Sally T",2015-01-01,,10,1,5,3,1977-03-01,,2
46,"Gibbs, Ann J",2015-01-01,,5,1,3,30,1974-04-04,,2
47,"Woodbridge, Rajesh M",2015-01-01,,10,0,5,3,1976-02-24,,2
48,"Simpson, Herbert N",2016-06-21,,3,0,4,7,1969-12-18,,2
49,"Rasul, Irene S",2015-01-01,2018-08-28,6,1,2,12,1975-02-17,,2
50,"MacMillan, Olu N",2016-07-10,,9,0,4,8,1965-09-17,,2
51,"Rutherford, Kenneth G",2015-05-03,2021-09-23,6,0,1,49,1974-07-12,,3
52,"Gorton, Jonathan K",2015-02-21,2018-07-14,2,0,5,27,1981-10-06,,2
53,"Jarvis, Ripduman I",2015-01-01,2017-07-21,3,1,5,7,1979-11-19,,2
54,"Mongan, Adam M",2015-01-01,,6,0,5,49,1991-12-05,,3
55,"Polizzi, Edward G",2015-01-01,,1,0,4,35,1979-05-08,,3
56,"Woolley, Christopher F",2015-07-24,,6,0,3,49,1988-02-22,,3
57,"Jones, Joseph S",2015-02-08,,6,0,2,49,1965-04-27,,3
58,"Hyslop, Antony K",2015-01-01,,1,0,3,35,1991-03-12,,3
59,"Mills, Gabriele Q",2015-01-15,,8,1,2,43,1965-10-31,,3
60,"Shelley, Angela B",2015-01-01,,10,1,3,47,1981-05-28,,3
61,"Pryde, Jonathan C",2015-09-06,2018-04-29,8,0,1,43,1993-11-01,,3
62,"Robinson, Nuala L",2015-01-01,,8,1,5,43,1964-07-31,,3
63,"Housley, Davide O",2015-01-01,2016-08-25,1,0,4,35,1956-02-14,,3
64,"Rutherford, Ian C",2015-01-01,,8,0,5,43,1969-12-05,,3
65,"Dingley, Amanda P",2015-03-27,,3,1,5,7,1963-09-17,,2
66,"Rasul, Christopher U",2016-08-08,,10,0,3,47,1978-11-09,,3
67,"Gibbs, Peter E",2015-04-14,,5,0,1,30,1968-08-31,,2
68,"Ranson, Samantha N",2016-05-31,,4,1,4,4,1979-09-02,,2
69,"Richards, Nishma K",2015-08-03,,6,1,5,49,1980-01-10,,3
70,"Coombs, Jane O",2016-02-21,2022-05-17,2,1,2,27,1970-11-27,,2
71,"Ewart, Douglas Q",2015-09-09,2019-06-07,3,0,2,65,1987-06-24,,3
72,"Massie, Venetia L",2015-09-13,2021-09-20,1,1,5,35,1981-12-30,,3
73,"Haigh, Morag P",2015-10-26,2018-09-18,1,1,1,72,1979-05-01,,4
74,"Shelley, Edward Y",2015-10-14,,8,0,3,43,1970-12-03,,3
75,"Colley, Graham D",2015-01-01,,10,0,4,47,1990-10-15,,3
76,"Dawber, Frank B",2015-01-01,2018-09-17,4,0,3,4,1979-03-02,,2
77,"Roberts, Francis K",2015-01-01,,1,0,4,72,1958-11-08,,4
78,"Shearer, Sylvia B",2015-01-01,,2,1,3,27,1979-02-10,,2
79,"Sheldrick, Andrew U",2015-01-12,,10,0,5,47,1974-04-30,,3
80,"Lewis, Antony M",2015-01-20,,7,0,5,39,1973-06-14,,3
81,"Barrett, Raymond Y",2015-01-01,2022-10-04,1,0,2,72,1991-07-16,,4
82,"Wilson, Nicola C",2015-01-01,2016-04-29,8,1,2,43,1971-09-12,,3
83,"Housley, Arthur T",2015-01-01,,6,0,2,49,1974-12-09,,3
84,"John, Robert X",2015-09-14,,4,0,3,76,1962-05-01,,3
85,"Wynn, Adrian J",2015-01-01,,5,0,2,30,1971-06-29,,2
86,"Dawber, Katie F",2016-12-05,,10,1,5,47,1976-05-09,,3
87,"MacMillan, Bevis F",2015-04-09,,3,0,3,65,1958-11-29,,3
88,"Shelley, Sally M",2015-10-05,,10,1,1,47,1979-10-21,,3
89,"Morris, Sharmin W",2015-05-13,,7,1,3,39,1970-08-17,,3
90,"Hardy, Antony N",2015-01-01,,2,0,2,27,1951-08-08,,2
91,"Geraghty, Jonathan H",2015-06-11,,6,0,1,83,1965-09-17,,4
92,"Pryde, Antony I",2015-01-01,,7,0,5,39,1965-04-16,,3
93,"Pryde, Mark P",2015-01-01,,1,0,3,72,1985-04-10,,4
94,"Hyslop, Robert F",2015-01-01,,8,0,4,82,1945-01-11,,4
95,"Lamb, Nazma E",2015-01-01,2016-10-29,7,1,3,39,1986-04-05,,3
96,"Swart, Karen R",2015-10-04,,1,1,3,72,1979-07-27,,4
97,"Gibbs, Frank R",2015-10-23,2022-07-05,10,0,2,88,1995-10-28,,4
98,"Dingley, Gill L",2015-05-03,,3,1,5,65,1974-12-05,,3
99,"Brant, Dimitrios Z",2015-01-01,,1,0,2,72,1966-07-03,,4
100,"Henry, Katie P",2015-01-01,,5,1,4,30,1964-01-09,,2
101,"Coppin, Morag H",2016-01-03,,10,1,1,88,1983-02-01,,4
102,"Primrose, Elisabeth J",2015-10-29,,10,1,1,88,1975-06-21,,4
103,"Webb, Adrian X",2015-11-12,2018-07-29,2,0,1,90,1966-08-27,,3
104,"Swart, Martin H",2015-09-25,,3,0,4,65,1979-11-13,,3
105,"Gibbs, Tracey O",2015-01-01,,4,1,5,76,1966-10-07,,3
106,"Scholes, Roy D",2015-01-01,2021-04-05,3,0,1,65,1957-05-22,,3
107,"Barrett, Julie C",2015-01-01,,4,1,3,76,1985-02-07,,3
108,"Marsden, Jane X",2015-01-25,,10,1,2,88,1968-05-24,,4
109,"Marsden, Amanda R",2015-01-01,,6,1,3,83,1971-02-25,,4
110,"Johnson, Noella X",2015-01-01,,7,1,2,39,1965-09-24,,3
111,"Field, Davide S",2015-01-01,,2,0,4,90,1967-06-26,,3
112,"Colley, Antony P",2015-01-01,,9,0,4,8,1990-09-25,,2
113,"Shelley, Colette V",2015-10-16,,10,1,2,88,1968-04-14,,4
114,"Kenney, Douglas V",2015-01-01,,5,0,2,100,1989-08-15,,3
115,"Johnson, Stuart X",2015-05-09,,9,0,3,112,1971-08-23,,3
116,"Marsden, Bevis O",2016-01-18,,5,0,5,100,1983-03-22,,3
117,"Cousins, William C",2015-02-15,2017-06-04,10,0,5,88,1986-03-05,,4
118,"Richards, Kevin B",2015-01-01,,1,0,4,99,1970-07-04,,5
119,"MacMillan, Sandra U",2015-01-01,,9,1,2,112,1968-08-27,,3
120,"Ranson, Rebecca W",2015-08-14,2020-04-12,1,1,1,99,1982-03-24,,5
121,"Gore, Selina R",2015-01-01,2021-09-24,1,1,5,99,1969-09-30,,5
122,"Gorton, Martin U",2015-01-01,,1,0,4,99,1972-06-30,,5
123,"King, Sally P",2015-01-01,,6,1,5,83,1995-01-06,,4
124,"Mongan, Giulio T",2015-01-01,2020-06-14,2,0,4,90,1989-01-18,,3
125,"Fleet, Anastasia S",2015-01-01,,6,1,4,83,1976-06-24,,4
126,"Wilson, Irene C",2015-05-06,2017-04-22,7,1,2,39,1966-05-01,,3
127,"Colley, Selina K",2016-03-10,,5,1,3,100,1977-03-01,,3
128,"Barrett, Noella I",2015-01-01,,1,1,4,99,1970-04-23,,5
129,"Shearer, Herbert J",2015-01-01,,10,0,5,117,1979-07-10,,5
130,"Parkes, Joanna F",2015-01-01,,3,1,4,65,1980-06-01,,3
131,"Jarvis, Eunice L",2015-01-01,,9,1,4,112,1993-08-18,,3
132,"Wilson, Graham U",2015-01-01,2019-11-28,4,0,2,76,1994-02-26,,3
133,"Andrews, Bhavna U",2015-01-01,2016-05-21,6,1,1,83,1979-08-16,,4
134,"Green, Adam H",2015-04-12,,5,0,3,100,1995-04-17,,3
135,"Field, Gabriele V",2015-01-01,,4,1,1,76,1969-11-16,,3
136,"Gore, Sarah G",2015-06-08,,3,1,5,130,1989-01-02,,4
137,"Primrose, Syed E",2015-10-02,,9,0,4,112,1978-04-24,,3
138,"Robinson, Elsie L",2015-01-01,2017-06-15,5,1,2,100,1961-10-31,,3
139,"Leyland, Elizabeth S",2015-01-01,,1,1,2,99,1976-11-05,,5
140,"Swart, Christopher X",2015-02-05,2020-06-02,3,0,3,130,1965-08-05,,4
141,"Rutherford, Gabriele Q",2015-01-01,2020-06-04,2,1,2,90,1974-05-12,,3
142,"Polizzi, Paul W",2015-01-13,2018-09-07,9,0,4,112,1954-11-15,,3
